name,zero_cross_sum,zero_cross_rate_mean,chromagram_mean,mfcc_mean_global,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
Dirty_old_man_(feat._Dia_Yiannopoulou)_-_zero-project40,8701,0.04918478260869565,0.36929998,0.73570913,-242.86774,147.95027,11.137676,42.106365,-6.112313,13.218282,14.39802,1.9546723,2.2462852,5.369811,-7.545061,6.0182166,4.0896115,8.477438,2.3655405,9.810986,-1.6736704,2.4643931,-3.3830519,4.6884475
Run_Fast_-_JO.BITE_(2)50,8810,0.049712692481884056,0.23687541,-2.7201653,-235.19322,124.084496,24.150572,22.991386,0.95425093,7.606473,-3.1963785,9.6613245,-8.524926,10.9013,-6.414423,0.52897036,-6.2290425,5.674691,-0.68710005,10.564993,-10.195736,1.2664701,-2.9006946,0.55329126
A_Cup_Of_Warm_Tea_-_JO.BITE_(2)60,12809,0.07235762001811594,0.38786414,-3.4167109,-215.38498,127.83713,-22.457214,46.554302,11.458714,9.929963,-12.149535,9.63099,-11.053267,9.023612,1.4707088,4.573682,-4.2924085,0.86070013,-13.8378525,0.57399344,-7.4806333,-2.060774,-5.8945456,4.363198
Dreams_About_You_-_Volodymyr_Gavrylyuk70,7348,0.04148833786231884,0.31826052,-2.4164197,-270.1151,130.82536,24.761536,40.066097,5.8867507,13.303556,-5.0987167,5.1136103,-3.268481,4.638177,-4.5734415,5.529686,0.17139737,5.3912926,-3.1499865,0.9937575,-8.334446,4.806629,-3.5305135,8.254452
Twisted_City_-_Roy_Smiles_(3)80,11850,0.06660014719202899,0.37624928,-1.5283813,-169.20627,120.63364,6.3495803,27.600233,0.37429652,9.033427,0.36669236,7.5608974,-13.401901,6.6883535,-7.4627004,1.8147465,-10.393697,1.1628705,-7.4414625,6.5926447,-10.963577,4.938168,-4.9312587,0.11769278
Not_the_One_to_Say_(I_Told_You_So)_(24-bit_Master)_-_Cole_Powell90,11548,0.06520323822463768,0.39084062,2.0708513,-148.09625,120.673996,7.273804,22.8389,7.989206,12.72736,-5.7801776,10.278178,1.8439007,10.865107,-10.495376,6.799068,-6.8595934,4.0452194,-3.207983,1.0181394,-5.6893435,9.681187,-4.039249,9.550936
Interlude_-_Arto_Kumanto_(2)100,7106,0.040153702445652174,0.29321468,-9.71022,-389.71588,223.15082,26.388214,9.578685,-0.36416167,-0.54476726,-3.3109646,-6.8064456,-10.941408,-6.87455,3.1401274,-2.2302556,-6.733004,-3.9246879,-6.0852566,-5.911118,-0.3926663,2.6757975,-5.6409287,-9.661951
029-1618434-Insidious One-Little sister10,22685,0.12816179800724636,0.5985725,5.5656343,-20.485077,86.53834,-32.030704,21.390755,-7.6737523,20.577324,3.0311122,17.600132,4.236518,13.326468,-4.848371,10.221654,-3.834394,7.3828206,-8.67042,6.390283,-7.952842,7.3218822,-6.939589,5.730545
019-1512411-Greyskull Chapel-A Blazing Rage20,15920,0.08991451539855072,0.4266188,2.408902,-94.86054,101.11404,-6.1381426,37.075447,2.0905552,10.480458,-9.7971325,13.542265,-3.657906,8.920356,-3.7865171,10.238979,-5.8262157,9.007387,-4.840589,4.4281964,-14.554918,0.10755481,-6.710434,1.3452007
040-1757716-When Arabel Meets Garbo-To The War ___30,20769,0.11720023777173913,0.5186208,5.157921,-59.05494,88.98681,-21.908693,44.203667,-0.6026997,16.375578,1.5059612,16.964182,-0.21370605,13.006064,-3.8338764,8.08215,-6.913344,3.9970763,-7.0546784,5.9038167,-5.8971157,5.931373,-3.0489075,6.729699
